Hour of First Occurrence Date,Is Crime
"January 14, 2019 at 7 PM",15
"January 14, 2019 at 8 PM",5
"January 14, 2019 at 9 PM",9
"January 14, 2019 at 10 PM",7
"January 14, 2019 at 11 PM",1
"January 15, 2019 at 12 AM",10
"January 15, 2019 at 1 AM",4
"January 15, 2019 at 2 AM",4
"January 15, 2019 at 3 AM",3
"January 15, 2019 at 4 AM",2
"January 15, 2019 at 6 AM",7
"January 15, 2019 at 7 AM",7
"January 15, 2019 at 8 AM",10
"January 15, 2019 at 9 AM",3
"January 15, 2019 at 10 AM",9
"January 15, 2019 at 11 AM",9
"January 15, 2019 at 12 PM",13
"January 15, 2019 at 1 PM",9
"January 15, 2019 at 2 PM",7
"January 15, 2019 at 3 PM",8
"January 15, 2019 at 4 PM",8
"January 15, 2019 at 5 PM",17
"January 15, 2019 at 6 PM",8
"January 15, 2019 at 7 PM",5
"January 15, 2019 at 8 PM",16
"January 15, 2019 at 9 PM",8
"January 15, 2019 at 10 PM",3
"January 15, 2019 at 11 PM",2
"January 16, 2019 at 12 AM",7
"January 16, 2019 at 1 AM",4
"January 16, 2019 at 2 AM",1
"January 16, 2019 at 3 AM",1
"January 16, 2019 at 4 AM",2
"January 16, 2019 at 5 AM",1
"January 16, 2019 at 6 AM",1
"January 16, 2019 at 7 AM",4
"January 16, 2019 at 8 AM",5
"January 16, 2019 at 9 AM",6
"January 16, 2019 at 10 AM",5
"January 16, 2019 at 11 AM",9
"January 16, 2019 at 12 PM",7
"January 16, 2019 at 1 PM",14
"January 16, 2019 at 2 PM",4
"January 16, 2019 at 3 PM",8
"January 16, 2019 at 4 PM",14
"January 16, 2019 at 5 PM",8
"January 16, 2019 at 6 PM",14
"January 16, 2019 at 7 PM",7
"January 16, 2019 at 8 PM",7
"January 16, 2019 at 9 PM",5
"January 16, 2019 at 10 PM",4
"January 16, 2019 at 11 PM",9
"January 17, 2019 at 12 AM",8
"January 17, 2019 at 1 AM",8
"January 17, 2019 at 2 AM",5
"January 17, 2019 at 4 AM",3
"January 17, 2019 at 5 AM",3
"January 17, 2019 at 6 AM",5
"January 17, 2019 at 7 AM",6
"January 17, 2019 at 8 AM",5
"January 17, 2019 at 9 AM",8
"January 17, 2019 at 10 AM",4
"January 17, 2019 at 11 AM",6
"January 17, 2019 at 12 PM",7
"January 17, 2019 at 1 PM",11
"January 17, 2019 at 2 PM",9
"January 17, 2019 at 3 PM",11
"January 17, 2019 at 4 PM",11
"January 17, 2019 at 5 PM",14
"January 17, 2019 at 6 PM",13
"January 17, 2019 at 7 PM",14
"January 17, 2019 at 8 PM",8
"January 17, 2019 at 9 PM",8
"January 17, 2019 at 10 PM",11
"January 17, 2019 at 11 PM",8
"January 18, 2019 at 12 AM",8
"January 18, 2019 at 1 AM",4
"January 18, 2019 at 2 AM",3
"January 18, 2019 at 3 AM",2
"January 18, 2019 at 4 AM",1
"January 18, 2019 at 5 AM",6
"January 18, 2019 at 6 AM",3
"January 18, 2019 at 7 AM",9
"January 18, 2019 at 8 AM",5
"January 18, 2019 at 9 AM",5
"January 18, 2019 at 10 AM",6
"January 18, 2019 at 11 AM",2
"January 18, 2019 at 12 PM",11
"January 18, 2019 at 1 PM",5
"January 18, 2019 at 2 PM",5
"January 18, 2019 at 3 PM",10
"January 18, 2019 at 4 PM",6
"January 18, 2019 at 5 PM",10
"January 18, 2019 at 6 PM",4
"January 18, 2019 at 7 PM",11
"January 18, 2019 at 8 PM",6
"January 18, 2019 at 9 PM",15
"January 18, 2019 at 10 PM",10
"January 18, 2019 at 11 PM",4
"January 19, 2019 at 12 AM",5
"January 19, 2019 at 1 AM",3
"January 19, 2019 at 2 AM",10
"January 19, 2019 at 3 AM",3
"January 19, 2019 at 4 AM",5
"January 19, 2019 at 5 AM",5
"January 19, 2019 at 6 AM",3
"January 19, 2019 at 7 AM",2
"January 19, 2019 at 8 AM",2
"January 19, 2019 at 9 AM",4
"January 19, 2019 at 10 AM",5
"January 19, 2019 at 11 AM",4
"January 19, 2019 at 12 PM",5
"January 19, 2019 at 1 PM",7
"January 19, 2019 at 2 PM",8
"January 19, 2019 at 3 PM",10
"January 19, 2019 at 4 PM",7
"January 19, 2019 at 5 PM",8
"January 19, 2019 at 6 PM",13
"January 19, 2019 at 7 PM",10
"January 19, 2019 at 8 PM",5
"January 19, 2019 at 9 PM",13
"January 19, 2019 at 10 PM",9
"January 19, 2019 at 11 PM",4
"January 20, 2019 at 12 AM",17
"January 20, 2019 at 1 AM",5
"January 20, 2019 at 2 AM",8
"January 20, 2019 at 3 AM",2
"January 20, 2019 at 4 AM",1
"January 20, 2019 at 5 AM",3
"January 20, 2019 at 6 AM",2
"January 20, 2019 at 7 AM",4
"January 20, 2019 at 8 AM",3
"January 20, 2019 at 9 AM",4
"January 20, 2019 at 10 AM",4
"January 20, 2019 at 11 AM",8
"January 20, 2019 at 12 PM",8
"January 20, 2019 at 1 PM",9
"January 20, 2019 at 2 PM",12
"January 20, 2019 at 3 PM",6
"January 20, 2019 at 4 PM",3
"January 20, 2019 at 5 PM",11
"January 20, 2019 at 6 PM",7
"January 20, 2019 at 7 PM",6
"January 20, 2019 at 8 PM",11
"January 20, 2019 at 9 PM",12
"January 20, 2019 at 10 PM",3
"January 20, 2019 at 11 PM",9
"January 21, 2019 at 12 AM",9
"January 21, 2019 at 1 AM",5
"January 21, 2019 at 2 AM",4
"January 21, 2019 at 3 AM",4
"January 21, 2019 at 5 AM",6
"January 21, 2019 at 6 AM",4
"January 21, 2019 at 7 AM",5
"January 21, 2019 at 8 AM",11
"January 21, 2019 at 9 AM",1
"January 21, 2019 at 10 AM",2
"January 21, 2019 at 11 AM",10
"January 21, 2019 at 12 PM",8
"January 21, 2019 at 1 PM",10
"January 21, 2019 at 2 PM",11
"January 21, 2019 at 3 PM",12
"January 21, 2019 at 4 PM",10
"January 21, 2019 at 5 PM",12
"January 21, 2019 at 6 PM",12
"January 21, 2019 at 7 PM",8
"January 21, 2019 at 8 PM",5
"January 21, 2019 at 9 PM",11
"January 21, 2019 at 10 PM",8
"January 21, 2019 at 11 PM",8
"January 22, 2019 at 12 AM",4
"January 22, 2019 at 1 AM",6
"January 22, 2019 at 2 AM",3
"January 22, 2019 at 3 AM",1
"January 22, 2019 at 4 AM",2
"January 22, 2019 at 6 AM",4
"January 22, 2019 at 7 AM",3
"January 22, 2019 at 8 AM",12
"January 22, 2019 at 9 AM",7
"January 22, 2019 at 10 AM",4
"January 22, 2019 at 11 AM",9
"January 22, 2019 at 12 PM",5
"January 22, 2019 at 1 PM",4
"January 22, 2019 at 2 PM",5
"January 22, 2019 at 3 PM",23
"January 22, 2019 at 4 PM",13
"January 22, 2019 at 5 PM",7
"January 22, 2019 at 6 PM",7
"January 22, 2019 at 7 PM",6
"January 22, 2019 at 8 PM",8
"January 22, 2019 at 9 PM",13
"January 22, 2019 at 10 PM",12
"January 22, 2019 at 11 PM",2
"January 23, 2019 at 12 AM",3
"January 23, 2019 at 2 AM",4
"January 23, 2019 at 3 AM",3
"January 23, 2019 at 4 AM",4
"January 23, 2019 at 6 AM",5
"January 23, 2019 at 7 AM",7
"January 23, 2019 at 8 AM",9
"January 23, 2019 at 9 AM",8
"January 23, 2019 at 10 AM",7
"January 23, 2019 at 11 AM",7
"January 23, 2019 at 12 PM",7
"January 23, 2019 at 1 PM",12
"January 23, 2019 at 2 PM",15
"January 23, 2019 at 3 PM",6
"January 23, 2019 at 4 PM",7
"January 23, 2019 at 5 PM",13
"January 23, 2019 at 6 PM",7
"January 23, 2019 at 7 PM",17
"January 23, 2019 at 8 PM",7
"January 23, 2019 at 9 PM",6
"January 23, 2019 at 10 PM",12
"January 23, 2019 at 11 PM",5
"January 24, 2019 at 12 AM",2
"January 24, 2019 at 1 AM",2
"January 24, 2019 at 2 AM",3
"January 24, 2019 at 3 AM",3
"January 24, 2019 at 4 AM",4
"January 24, 2019 at 5 AM",3
"January 24, 2019 at 7 AM",10
"January 24, 2019 at 8 AM",11
"January 24, 2019 at 9 AM",10
"January 24, 2019 at 10 AM",6
"January 24, 2019 at 11 AM",4
"January 24, 2019 at 12 PM",9
"January 24, 2019 at 1 PM",9
"January 24, 2019 at 2 PM",3
"January 24, 2019 at 3 PM",1
"January 24, 2019 at 4 PM",10
"January 24, 2019 at 5 PM",5
"January 24, 2019 at 6 PM",8
"January 24, 2019 at 7 PM",3
"January 24, 2019 at 8 PM",6
"January 24, 2019 at 9 PM",8
"January 24, 2019 at 10 PM",7
"January 24, 2019 at 11 PM",2
"January 25, 2019 at 12 AM",9
"January 25, 2019 at 1 AM",2
"January 25, 2019 at 2 AM",2
"January 25, 2019 at 3 AM",2
"January 25, 2019 at 4 AM",1
"January 25, 2019 at 5 AM",4
"January 25, 2019 at 7 AM",9
"January 25, 2019 at 8 AM",1
"January 25, 2019 at 9 AM",1
"January 25, 2019 at 10 AM",8
"January 25, 2019 at 11 AM",7
"January 25, 2019 at 12 PM",12
"January 25, 2019 at 1 PM",7
"January 25, 2019 at 2 PM",2
"January 25, 2019 at 3 PM",9
"January 25, 2019 at 4 PM",6
"January 25, 2019 at 5 PM",3
"January 25, 2019 at 6 PM",8
"January 25, 2019 at 7 PM",14
"January 25, 2019 at 8 PM",13
"January 25, 2019 at 9 PM",14
"January 25, 2019 at 10 PM",14
"January 25, 2019 at 11 PM",9
"January 26, 2019 at 12 AM",10
"January 26, 2019 at 1 AM",7
"January 26, 2019 at 2 AM",9
"January 26, 2019 at 3 AM",6
"January 26, 2019 at 4 AM",4
"January 26, 2019 at 5 AM",2
"January 26, 2019 at 6 AM",5
"January 26, 2019 at 7 AM",5
"January 26, 2019 at 8 AM",5
"January 26, 2019 at 9 AM",2
"January 26, 2019 at 10 AM",5
"January 26, 2019 at 11 AM",2
"January 26, 2019 at 12 PM",4
"January 26, 2019 at 1 PM",5
"January 26, 2019 at 2 PM",7
"January 26, 2019 at 3 PM",9
"January 26, 2019 at 4 PM",14
"January 26, 2019 at 5 PM",7
"January 26, 2019 at 6 PM",13
"January 26, 2019 at 7 PM",9
"January 26, 2019 at 8 PM",10
"January 26, 2019 at 9 PM",3
"January 26, 2019 at 10 PM",9
"January 26, 2019 at 11 PM",8
"January 27, 2019 at 12 AM",5
"January 27, 2019 at 1 AM",5
"January 27, 2019 at 2 AM",5
"January 27, 2019 at 3 AM",3
"January 27, 2019 at 4 AM",5
"January 27, 2019 at 5 AM",2
"January 27, 2019 at 6 AM",4
"January 27, 2019 at 7 AM",5
"January 27, 2019 at 8 AM",4
"January 27, 2019 at 9 AM",2
"January 27, 2019 at 10 AM",8
"January 27, 2019 at 11 AM",3
"January 27, 2019 at 12 PM",4
"January 27, 2019 at 1 PM",3
"January 27, 2019 at 2 PM",6
"January 27, 2019 at 3 PM",5
"January 27, 2019 at 4 PM",4
"January 27, 2019 at 5 PM",5
"January 27, 2019 at 6 PM",8
"January 27, 2019 at 7 PM",8
"January 27, 2019 at 8 PM",6
"January 27, 2019 at 9 PM",10
"January 27, 2019 at 10 PM",8
"January 27, 2019 at 11 PM",10
"January 28, 2019 at 12 AM",11
"January 28, 2019 at 1 AM",7
"January 28, 2019 at 2 AM",8
"January 28, 2019 at 3 AM",3
"January 28, 2019 at 4 AM",2
"January 28, 2019 at 5 AM",3
"January 28, 2019 at 6 AM",6
"January 28, 2019 at 7 AM",4
"January 28, 2019 at 8 AM",8
"January 28, 2019 at 9 AM",7
"January 28, 2019 at 10 AM",7
"January 28, 2019 at 11 AM",3
"January 28, 2019 at 12 PM",10
"January 28, 2019 at 1 PM",6
"January 28, 2019 at 2 PM",3
"January 28, 2019 at 3 PM",10
"January 28, 2019 at 4 PM",3
"January 28, 2019 at 5 PM",9
"January 28, 2019 at 6 PM",6
"January 28, 2019 at 7 PM",8
"January 28, 2019 at 8 PM",6
"January 28, 2019 at 9 PM",4
"January 28, 2019 at 10 PM",7
"January 28, 2019 at 11 PM",7
"January 29, 2019 at 12 AM",5
"January 29, 2019 at 1 AM",1
"January 29, 2019 at 2 AM",6
"January 29, 2019 at 3 AM",3
"January 29, 2019 at 4 AM",2
"January 29, 2019 at 5 AM",4
"January 29, 2019 at 6 AM",4
"January 29, 2019 at 7 AM",6
"January 29, 2019 at 8 AM",6
"January 29, 2019 at 9 AM",8
"January 29, 2019 at 10 AM",7
"January 29, 2019 at 11 AM",9
"January 29, 2019 at 12 PM",5
"January 29, 2019 at 1 PM",7
"January 29, 2019 at 2 PM",10
"January 29, 2019 at 3 PM",7
"January 29, 2019 at 4 PM",10
"January 29, 2019 at 5 PM",18
"January 29, 2019 at 6 PM",10
"January 29, 2019 at 7 PM",13
"January 29, 2019 at 8 PM",9
"January 29, 2019 at 9 PM",5
"January 29, 2019 at 10 PM",5
"January 29, 2019 at 11 PM",5
"January 30, 2019 at 12 AM",12
"January 30, 2019 at 1 AM",1
"January 30, 2019 at 2 AM",2
"January 30, 2019 at 3 AM",1
"January 30, 2019 at 4 AM",2
"January 30, 2019 at 5 AM",3
"January 30, 2019 at 6 AM",4
"January 30, 2019 at 7 AM",6
"January 30, 2019 at 8 AM",9
"January 30, 2019 at 9 AM",2
"January 30, 2019 at 10 AM",4
"January 30, 2019 at 11 AM",5
"January 30, 2019 at 12 PM",8
"January 30, 2019 at 1 PM",9
"January 30, 2019 at 2 PM",8
"January 30, 2019 at 3 PM",8
"January 30, 2019 at 4 PM",13
"January 30, 2019 at 5 PM",9
"January 30, 2019 at 6 PM",17
"January 30, 2019 at 7 PM",14
"January 30, 2019 at 8 PM",10
"January 30, 2019 at 9 PM",15
"January 30, 2019 at 10 PM",5
"January 30, 2019 at 11 PM",7
"January 31, 2019 at 12 AM",7
"January 31, 2019 at 1 AM",4
"January 31, 2019 at 2 AM",3
"January 31, 2019 at 3 AM",1
"January 31, 2019 at 4 AM",1
"January 31, 2019 at 5 AM",1
"January 31, 2019 at 6 AM",6
"January 31, 2019 at 7 AM",7
"January 31, 2019 at 8 AM",9
"January 31, 2019 at 9 AM",8
"January 31, 2019 at 10 AM",7
"January 31, 2019 at 11 AM",3
"January 31, 2019 at 12 PM",7
"January 31, 2019 at 1 PM",10
"January 31, 2019 at 2 PM",12
"January 31, 2019 at 3 PM",13
"January 31, 2019 at 4 PM",12
"January 31, 2019 at 5 PM",11
"January 31, 2019 at 6 PM",13
"January 31, 2019 at 7 PM",17
"January 31, 2019 at 8 PM",17
"January 31, 2019 at 9 PM",9
"January 31, 2019 at 10 PM",11
"January 31, 2019 at 11 PM",2
"February 1, 2019 at 12 AM",17
"February 1, 2019 at 1 AM",3
"February 1, 2019 at 2 AM",1
"February 1, 2019 at 3 AM",3
"February 1, 2019 at 4 AM",5
"February 1, 2019 at 5 AM",1
"February 1, 2019 at 6 AM",8
"February 1, 2019 at 7 AM",4
"February 1, 2019 at 8 AM",10
"February 1, 2019 at 9 AM",2
"February 1, 2019 at 10 AM",5
"February 1, 2019 at 11 AM",7
"February 1, 2019 at 12 PM",13
"February 1, 2019 at 1 PM",13
"February 1, 2019 at 2 PM",4
"February 1, 2019 at 3 PM",15
"February 1, 2019 at 4 PM",17
"February 1, 2019 at 5 PM",7
"February 1, 2019 at 6 PM",4
"February 1, 2019 at 7 PM",5
"February 1, 2019 at 8 PM",5
"February 1, 2019 at 9 PM",11
"February 1, 2019 at 10 PM",7
"February 1, 2019 at 11 PM",7
"February 2, 2019 at 12 AM",8
"February 2, 2019 at 1 AM",6
"February 2, 2019 at 2 AM",2
"February 2, 2019 at 3 AM",5
"February 2, 2019 at 4 AM",1
"February 2, 2019 at 5 AM",7
"February 2, 2019 at 6 AM",1
"February 2, 2019 at 7 AM",1
"February 2, 2019 at 8 AM",2
"February 2, 2019 at 9 AM",4
"February 2, 2019 at 10 AM",5
"February 2, 2019 at 11 AM",10
"February 2, 2019 at 12 PM",13
"February 2, 2019 at 1 PM",8
"February 2, 2019 at 2 PM",10
"February 2, 2019 at 3 PM",5
"February 2, 2019 at 4 PM",11
"February 2, 2019 at 5 PM",9
"February 2, 2019 at 6 PM",5
"February 2, 2019 at 7 PM",11
"February 2, 2019 at 8 PM",15
"February 2, 2019 at 9 PM",3
"February 2, 2019 at 10 PM",8
"February 2, 2019 at 11 PM",7
"February 3, 2019 at 12 AM",8
"February 3, 2019 at 1 AM",9
"February 3, 2019 at 2 AM",9
"February 3, 2019 at 3 AM",10
"February 3, 2019 at 4 AM",7
"February 3, 2019 at 5 AM",1
"February 3, 2019 at 6 AM",5
"February 3, 2019 at 7 AM",2
"February 3, 2019 at 8 AM",2
"February 3, 2019 at 9 AM",3
"February 3, 2019 at 10 AM",3
"February 3, 2019 at 11 AM",4
"February 3, 2019 at 12 PM",9
"February 3, 2019 at 1 PM",8
"February 3, 2019 at 2 PM",6
"February 3, 2019 at 3 PM",9
"February 3, 2019 at 4 PM",15
"February 3, 2019 at 5 PM",6
"February 3, 2019 at 6 PM",12
"February 3, 2019 at 7 PM",11
"February 3, 2019 at 8 PM",5
"February 3, 2019 at 9 PM",9
"February 3, 2019 at 10 PM",7
"February 3, 2019 at 11 PM",8
"February 4, 2019 at 12 AM",15
"February 4, 2019 at 1 AM",3
"February 4, 2019 at 2 AM",3
"February 4, 2019 at 3 AM",5
"February 4, 2019 at 4 AM",4
"February 4, 2019 at 5 AM",5
"February 4, 2019 at 6 AM",2
"February 4, 2019 at 7 AM",2
"February 4, 2019 at 8 AM",8
"February 4, 2019 at 9 AM",8
"February 4, 2019 at 10 AM",5
"February 4, 2019 at 11 AM",5
"February 4, 2019 at 12 PM",7
"February 4, 2019 at 1 PM",6
"February 4, 2019 at 2 PM",18
"February 4, 2019 at 3 PM",14
"February 4, 2019 at 4 PM",8
"February 4, 2019 at 5 PM",6
"February 4, 2019 at 6 PM",7
"February 4, 2019 at 7 PM",10
"February 4, 2019 at 8 PM",11
"February 4, 2019 at 9 PM",3
"February 4, 2019 at 10 PM",2
"February 4, 2019 at 11 PM",5
"February 5, 2019 at 2 AM",2
"February 5, 2019 at 3 AM",7
"February 5, 2019 at 4 AM",3
"February 5, 2019 at 5 AM",8
"February 5, 2019 at 6 AM",4
"February 5, 2019 at 7 AM",7
"February 5, 2019 at 8 AM",7
"February 5, 2019 at 9 AM",7
"February 5, 2019 at 10 AM",4
"February 5, 2019 at 11 AM",12
"February 5, 2019 at 12 PM",3
"February 5, 2019 at 1 PM",10
"February 5, 2019 at 2 PM",2
"February 5, 2019 at 3 PM",8
"February 5, 2019 at 4 PM",19
"February 5, 2019 at 5 PM",10
"February 5, 2019 at 6 PM",10
"February 5, 2019 at 7 PM",9
"February 5, 2019 at 8 PM",7
"February 5, 2019 at 9 PM",10
"February 5, 2019 at 10 PM",7
"February 5, 2019 at 11 PM",8
"February 6, 2019 at 12 AM",4
"February 6, 2019 at 1 AM",4
"February 6, 2019 at 2 AM",4
"February 6, 2019 at 3 AM",2
"February 6, 2019 at 4 AM",2
"February 6, 2019 at 5 AM",2
"February 6, 2019 at 6 AM",5
"February 6, 2019 at 8 AM",6
"February 6, 2019 at 9 AM",7
"February 6, 2019 at 10 AM",7
"February 6, 2019 at 11 AM",7
"February 6, 2019 at 12 PM",7
"February 6, 2019 at 1 PM",7
"February 6, 2019 at 2 PM",6
"February 6, 2019 at 3 PM",5
"February 6, 2019 at 4 PM",4
"February 6, 2019 at 5 PM",7
"February 6, 2019 at 6 PM",7
"February 6, 2019 at 7 PM",4
"February 6, 2019 at 8 PM",6
"February 6, 2019 at 9 PM",5
"February 6, 2019 at 10 PM",3
"February 6, 2019 at 11 PM",3
"February 7, 2019 at 12 AM",1
"February 7, 2019 at 1 AM",3
"February 7, 2019 at 5 AM",2
"February 7, 2019 at 6 AM",2
"February 7, 2019 at 7 AM",4
"February 7, 2019 at 8 AM",6
"February 7, 2019 at 9 AM",1
"February 7, 2019 at 10 AM",5
"February 7, 2019 at 11 AM",4
"February 7, 2019 at 12 PM",6
"February 7, 2019 at 1 PM",7
"February 7, 2019 at 2 PM",9
"February 7, 2019 at 3 PM",4
"February 7, 2019 at 4 PM",8
"February 7, 2019 at 5 PM",3
"February 7, 2019 at 6 PM",6
"February 7, 2019 at 7 PM",4
"February 7, 2019 at 8 PM",5
"February 7, 2019 at 9 PM",9
"February 7, 2019 at 10 PM",5
"February 7, 2019 at 11 PM",6
"February 8, 2019 at 12 AM",8
"February 8, 2019 at 1 AM",2
"February 8, 2019 at 2 AM",4
"February 8, 2019 at 3 AM",2
"February 8, 2019 at 4 AM",1
"February 8, 2019 at 5 AM",2
"February 8, 2019 at 6 AM",3
"February 8, 2019 at 7 AM",2
"February 8, 2019 at 8 AM",8
"February 8, 2019 at 9 AM",8
"February 8, 2019 at 10 AM",6
"February 8, 2019 at 11 AM",2
"February 8, 2019 at 12 PM",12
"February 8, 2019 at 1 PM",9
"February 8, 2019 at 2 PM",5
"February 8, 2019 at 3 PM",14
"February 8, 2019 at 4 PM",11
"February 8, 2019 at 5 PM",9
"February 8, 2019 at 6 PM",12
"February 8, 2019 at 7 PM",7
"February 8, 2019 at 8 PM",8
"February 8, 2019 at 9 PM",5
"February 8, 2019 at 10 PM",5
"February 8, 2019 at 11 PM",10
"February 9, 2019 at 12 AM",9
"February 9, 2019 at 1 AM",7
"February 9, 2019 at 2 AM",4
"February 9, 2019 at 3 AM",2
"February 9, 2019 at 4 AM",3
"February 9, 2019 at 6 AM",4
"February 9, 2019 at 7 AM",2
"February 9, 2019 at 8 AM",4
"February 9, 2019 at 9 AM",11
"February 9, 2019 at 10 AM",2
"February 9, 2019 at 11 AM",7
"February 9, 2019 at 12 PM",7
"February 9, 2019 at 1 PM",4
"February 9, 2019 at 2 PM",7
"February 9, 2019 at 3 PM",8
"February 9, 2019 at 4 PM",8
"February 9, 2019 at 5 PM",6
"February 9, 2019 at 6 PM",11
"February 9, 2019 at 7 PM",11
"February 9, 2019 at 8 PM",13
"February 9, 2019 at 9 PM",4
"February 9, 2019 at 10 PM",12
"February 9, 2019 at 11 PM",4
"February 10, 2019 at 12 AM",18
"February 10, 2019 at 1 AM",12
"February 10, 2019 at 2 AM",5
"February 10, 2019 at 3 AM",4
"February 10, 2019 at 4 AM",2
"February 10, 2019 at 6 AM",2
"February 10, 2019 at 7 AM",6
"February 10, 2019 at 8 AM",6
"February 10, 2019 at 9 AM",5
"February 10, 2019 at 10 AM",6
"February 10, 2019 at 11 AM",9
"February 10, 2019 at 12 PM",5
"February 10, 2019 at 1 PM",4
"February 10, 2019 at 2 PM",11
"February 10, 2019 at 3 PM",9
"February 10, 2019 at 4 PM",10
"February 10, 2019 at 5 PM",9
"February 10, 2019 at 6 PM",4
"February 10, 2019 at 7 PM",5
"February 10, 2019 at 8 PM",9
"February 10, 2019 at 9 PM",12
"February 10, 2019 at 10 PM",6
"February 10, 2019 at 11 PM",4
"February 11, 2019 at 12 AM",6
"February 11, 2019 at 1 AM",3
"February 11, 2019 at 2 AM",3
"February 11, 2019 at 3 AM",1
"February 11, 2019 at 4 AM",2
"February 11, 2019 at 5 AM",5
"February 11, 2019 at 6 AM",2
"February 11, 2019 at 7 AM",4
"February 11, 2019 at 8 AM",10
"February 11, 2019 at 9 AM",6
"February 11, 2019 at 10 AM",2
"February 11, 2019 at 11 AM",13
"February 11, 2019 at 12 PM",9
"February 11, 2019 at 1 PM",8
"February 11, 2019 at 2 PM",4
"February 11, 2019 at 3 PM",7
"February 11, 2019 at 4 PM",6
"February 11, 2019 at 5 PM",6
"February 11, 2019 at 6 PM",8
"February 11, 2019 at 7 PM",7
"February 11, 2019 at 8 PM",8
"February 11, 2019 at 9 PM",7
"February 11, 2019 at 10 PM",8
"February 11, 2019 at 11 PM",12
"February 12, 2019 at 12 AM",7
"February 12, 2019 at 1 AM",4
"February 12, 2019 at 2 AM",5
"February 12, 2019 at 3 AM",5
"February 12, 2019 at 5 AM",4
"February 12, 2019 at 6 AM",4
"February 12, 2019 at 7 AM",2
"February 12, 2019 at 8 AM",7
"February 12, 2019 at 9 AM",3
"February 12, 2019 at 10 AM",6
"February 12, 2019 at 11 AM",5
"February 12, 2019 at 12 PM",8
"February 12, 2019 at 1 PM",8
"February 12, 2019 at 2 PM",8
"February 12, 2019 at 3 PM",11
"February 12, 2019 at 4 PM",10
"February 12, 2019 at 5 PM",11
"February 12, 2019 at 6 PM",6
"February 12, 2019 at 7 PM",7
"February 12, 2019 at 8 PM",11
"February 12, 2019 at 9 PM",8
"February 12, 2019 at 10 PM",4
"February 12, 2019 at 11 PM",2
"February 13, 2019 at 12 AM",7
"February 13, 2019 at 1 AM",1
"February 13, 2019 at 2 AM",5
"February 13, 2019 at 3 AM",5
"February 13, 2019 at 4 AM",3
"February 13, 2019 at 5 AM",3
"February 13, 2019 at 6 AM",3
"February 13, 2019 at 7 AM",11
"February 13, 2019 at 8 AM",8
"February 13, 2019 at 9 AM",7
"February 13, 2019 at 10 AM",11
"February 13, 2019 at 11 AM",6
"February 13, 2019 at 12 PM",12
"February 13, 2019 at 1 PM",4
"February 13, 2019 at 2 PM",6
"February 13, 2019 at 3 PM",7
"February 13, 2019 at 4 PM",7
"February 13, 2019 at 5 PM",11
"February 13, 2019 at 6 PM",5
"February 13, 2019 at 7 PM",24
"February 13, 2019 at 8 PM",11
"February 13, 2019 at 9 PM",12
"February 13, 2019 at 10 PM",10
"February 13, 2019 at 11 PM",7
"February 14, 2019 at 12 AM",10
"February 14, 2019 at 1 AM",6
"February 14, 2019 at 2 AM",3
"February 14, 2019 at 4 AM",1
"February 14, 2019 at 6 AM",2
"February 14, 2019 at 7 AM",6
"February 14, 2019 at 8 AM",6
"February 14, 2019 at 9 AM",10
"February 14, 2019 at 10 AM",5
"February 14, 2019 at 11 AM",11
"February 14, 2019 at 12 PM",11
"February 14, 2019 at 1 PM",11
"February 14, 2019 at 2 PM",8
"February 14, 2019 at 3 PM",18
"February 14, 2019 at 4 PM",10
"February 14, 2019 at 5 PM",10
"February 14, 2019 at 6 PM",10
"February 14, 2019 at 7 PM",9
"February 14, 2019 at 8 PM",8
"February 14, 2019 at 9 PM",11
"February 14, 2019 at 10 PM",7
"February 14, 2019 at 11 PM",8
"February 15, 2019 at 12 AM",11
"February 15, 2019 at 1 AM",4
"February 15, 2019 at 2 AM",7
"February 15, 2019 at 3 AM",5
"February 15, 2019 at 5 AM",2
"February 15, 2019 at 6 AM",2
"February 15, 2019 at 7 AM",9
"February 15, 2019 at 8 AM",6
"February 15, 2019 at 9 AM",5
"February 15, 2019 at 10 AM",4
"February 15, 2019 at 11 AM",5
"February 15, 2019 at 12 PM",15
"February 15, 2019 at 1 PM",5
"February 15, 2019 at 2 PM",12
"February 15, 2019 at 3 PM",13
"February 15, 2019 at 4 PM",14
"February 15, 2019 at 5 PM",11
"February 15, 2019 at 6 PM",11
"February 15, 2019 at 7 PM",4
"February 15, 2019 at 8 PM",10
"February 15, 2019 at 9 PM",10
"February 15, 2019 at 10 PM",6
"February 15, 2019 at 11 PM",9
"February 16, 2019 at 12 AM",11
"February 16, 2019 at 1 AM",4
"February 16, 2019 at 2 AM",3
"February 16, 2019 at 3 AM",6
"February 16, 2019 at 5 AM",1
"February 16, 2019 at 7 AM",2
"February 16, 2019 at 8 AM",6
"February 16, 2019 at 9 AM",1
"February 16, 2019 at 10 AM",6
"February 16, 2019 at 11 AM",4
"February 16, 2019 at 12 PM",9
"February 16, 2019 at 1 PM",7
"February 16, 2019 at 2 PM",5
"February 16, 2019 at 3 PM",3
"February 16, 2019 at 4 PM",5
"February 16, 2019 at 5 PM",15
"February 16, 2019 at 6 PM",8
"February 16, 2019 at 7 PM",3
"February 16, 2019 at 8 PM",14
"February 16, 2019 at 9 PM",10
"February 16, 2019 at 10 PM",8
"February 16, 2019 at 11 PM",10
"February 17, 2019 at 12 AM",10
