Hour of First Occurrence Date,Is Crime
"January 19, 2017 at 7 PM",9
"January 19, 2017 at 8 PM",16
"January 19, 2017 at 9 PM",14
"January 19, 2017 at 10 PM",6
"January 19, 2017 at 11 PM",9
"January 20, 2017 at 12 AM",4
"January 20, 2017 at 1 AM",8
"January 20, 2017 at 2 AM",5
"January 20, 2017 at 3 AM",5
"January 20, 2017 at 5 AM",4
"January 20, 2017 at 6 AM",5
"January 20, 2017 at 7 AM",4
"January 20, 2017 at 8 AM",10
"January 20, 2017 at 9 AM",8
"January 20, 2017 at 10 AM",9
"January 20, 2017 at 11 AM",4
"January 20, 2017 at 12 PM",5
"January 20, 2017 at 1 PM",4
"January 20, 2017 at 2 PM",11
"January 20, 2017 at 3 PM",7
"January 20, 2017 at 4 PM",10
"January 20, 2017 at 5 PM",13
"January 20, 2017 at 6 PM",6
"January 20, 2017 at 7 PM",12
"January 20, 2017 at 8 PM",15
"January 20, 2017 at 9 PM",5
"January 20, 2017 at 10 PM",7
"January 20, 2017 at 11 PM",7
"January 21, 2017 at 12 AM",13
"January 21, 2017 at 1 AM",6
"January 21, 2017 at 2 AM",6
"January 21, 2017 at 3 AM",3
"January 21, 2017 at 4 AM",2
"January 21, 2017 at 5 AM",1
"January 21, 2017 at 6 AM",5
"January 21, 2017 at 7 AM",9
"January 21, 2017 at 8 AM",10
"January 21, 2017 at 9 AM",8
"January 21, 2017 at 10 AM",8
"January 21, 2017 at 11 AM",3
"January 21, 2017 at 12 PM",6
"January 21, 2017 at 1 PM",5
"January 21, 2017 at 2 PM",5
"January 21, 2017 at 3 PM",4
"January 21, 2017 at 4 PM",10
"January 21, 2017 at 5 PM",11
"January 21, 2017 at 6 PM",5
"January 21, 2017 at 7 PM",17
"January 21, 2017 at 8 PM",13
"January 21, 2017 at 9 PM",8
"January 21, 2017 at 10 PM",12
"January 21, 2017 at 11 PM",12
"January 22, 2017 at 12 AM",15
"January 22, 2017 at 1 AM",6
"January 22, 2017 at 2 AM",9
"January 22, 2017 at 3 AM",2
"January 22, 2017 at 4 AM",5
"January 22, 2017 at 5 AM",3
"January 22, 2017 at 6 AM",5
"January 22, 2017 at 7 AM",2
"January 22, 2017 at 8 AM",5
"January 22, 2017 at 9 AM",4
"January 22, 2017 at 10 AM",6
"January 22, 2017 at 11 AM",5
"January 22, 2017 at 12 PM",8
"January 22, 2017 at 1 PM",5
"January 22, 2017 at 2 PM",9
"January 22, 2017 at 3 PM",4
"January 22, 2017 at 4 PM",6
"January 22, 2017 at 5 PM",5
"January 22, 2017 at 6 PM",6
"January 22, 2017 at 7 PM",5
"January 22, 2017 at 8 PM",14
"January 22, 2017 at 9 PM",9
"January 22, 2017 at 10 PM",7
"January 22, 2017 at 11 PM",6
"January 23, 2017 at 12 AM",2
"January 23, 2017 at 1 AM",6
"January 23, 2017 at 2 AM",3
"January 23, 2017 at 3 AM",8
"January 23, 2017 at 4 AM",10
"January 23, 2017 at 5 AM",3
"January 23, 2017 at 7 AM",7
"January 23, 2017 at 8 AM",15
"January 23, 2017 at 9 AM",9
"January 23, 2017 at 10 AM",6
"January 23, 2017 at 11 AM",8
"January 23, 2017 at 12 PM",18
"January 23, 2017 at 1 PM",2
"January 23, 2017 at 2 PM",5
"January 23, 2017 at 3 PM",11
"January 23, 2017 at 4 PM",8
"January 23, 2017 at 5 PM",8
"January 23, 2017 at 6 PM",10
"January 23, 2017 at 7 PM",6
"January 23, 2017 at 8 PM",8
"January 23, 2017 at 9 PM",3
"January 23, 2017 at 10 PM",10
"January 23, 2017 at 11 PM",6
"January 24, 2017 at 12 AM",6
"January 24, 2017 at 1 AM",3
"January 24, 2017 at 2 AM",5
"January 24, 2017 at 3 AM",5
"January 24, 2017 at 4 AM",5
"January 24, 2017 at 5 AM",1
"January 24, 2017 at 6 AM",4
"January 24, 2017 at 7 AM",8
"January 24, 2017 at 8 AM",11
"January 24, 2017 at 9 AM",5
"January 24, 2017 at 10 AM",4
"January 24, 2017 at 11 AM",8
"January 24, 2017 at 12 PM",13
"January 24, 2017 at 1 PM",9
"January 24, 2017 at 2 PM",13
"January 24, 2017 at 3 PM",8
"January 24, 2017 at 4 PM",5
"January 24, 2017 at 5 PM",7
"January 24, 2017 at 6 PM",10
"January 24, 2017 at 7 PM",13
"January 24, 2017 at 8 PM",10
"January 24, 2017 at 9 PM",8
"January 24, 2017 at 10 PM",9
"January 24, 2017 at 11 PM",8
"January 25, 2017 at 12 AM",10
"January 25, 2017 at 1 AM",6
"January 25, 2017 at 2 AM",4
"January 25, 2017 at 3 AM",1
"January 25, 2017 at 4 AM",1
"January 25, 2017 at 5 AM",3
"January 25, 2017 at 6 AM",4
"January 25, 2017 at 7 AM",5
"January 25, 2017 at 8 AM",5
"January 25, 2017 at 9 AM",6
"January 25, 2017 at 10 AM",4
"January 25, 2017 at 11 AM",3
"January 25, 2017 at 12 PM",9
"January 25, 2017 at 1 PM",7
"January 25, 2017 at 2 PM",9
"January 25, 2017 at 3 PM",12
"January 25, 2017 at 4 PM",10
"January 25, 2017 at 5 PM",8
"January 25, 2017 at 6 PM",8
"January 25, 2017 at 7 PM",10
"January 25, 2017 at 8 PM",9
"January 25, 2017 at 9 PM",11
"January 25, 2017 at 10 PM",6
"January 25, 2017 at 11 PM",3
"January 26, 2017 at 12 AM",4
"January 26, 2017 at 1 AM",8
"January 26, 2017 at 2 AM",2
"January 26, 2017 at 3 AM",8
"January 26, 2017 at 4 AM",1
"January 26, 2017 at 5 AM",3
"January 26, 2017 at 6 AM",6
"January 26, 2017 at 7 AM",8
"January 26, 2017 at 8 AM",4
"January 26, 2017 at 9 AM",5
"January 26, 2017 at 10 AM",13
"January 26, 2017 at 11 AM",6
"January 26, 2017 at 12 PM",7
"January 26, 2017 at 1 PM",4
"January 26, 2017 at 2 PM",14
"January 26, 2017 at 3 PM",8
"January 26, 2017 at 4 PM",10
"January 26, 2017 at 5 PM",12
"January 26, 2017 at 6 PM",8
"January 26, 2017 at 7 PM",8
"January 26, 2017 at 8 PM",11
"January 26, 2017 at 9 PM",4
"January 26, 2017 at 10 PM",3
"January 26, 2017 at 11 PM",2
"January 27, 2017 at 12 AM",6
"January 27, 2017 at 1 AM",2
"January 27, 2017 at 2 AM",5
"January 27, 2017 at 4 AM",1
"January 27, 2017 at 5 AM",2
"January 27, 2017 at 6 AM",2
"January 27, 2017 at 7 AM",8
"January 27, 2017 at 8 AM",8
"January 27, 2017 at 9 AM",2
"January 27, 2017 at 10 AM",7
"January 27, 2017 at 11 AM",7
"January 27, 2017 at 12 PM",13
"January 27, 2017 at 1 PM",10
"January 27, 2017 at 2 PM",10
"January 27, 2017 at 3 PM",12
"January 27, 2017 at 4 PM",23
"January 27, 2017 at 5 PM",8
"January 27, 2017 at 6 PM",12
"January 27, 2017 at 7 PM",13
"January 27, 2017 at 8 PM",7
"January 27, 2017 at 9 PM",10
"January 27, 2017 at 10 PM",16
"January 27, 2017 at 11 PM",6
"January 28, 2017 at 12 AM",6
"January 28, 2017 at 1 AM",8
"January 28, 2017 at 2 AM",6
"January 28, 2017 at 3 AM",4
"January 28, 2017 at 4 AM",4
"January 28, 2017 at 5 AM",4
"January 28, 2017 at 6 AM",2
"January 28, 2017 at 7 AM",6
"January 28, 2017 at 8 AM",5
"January 28, 2017 at 9 AM",4
"January 28, 2017 at 10 AM",11
"January 28, 2017 at 11 AM",6
"January 28, 2017 at 12 PM",6
"January 28, 2017 at 1 PM",6
"January 28, 2017 at 2 PM",12
"January 28, 2017 at 3 PM",11
"January 28, 2017 at 4 PM",8
"January 28, 2017 at 5 PM",5
"January 28, 2017 at 6 PM",9
"January 28, 2017 at 7 PM",8
"January 28, 2017 at 8 PM",12
"January 28, 2017 at 9 PM",6
"January 28, 2017 at 10 PM",10
"January 28, 2017 at 11 PM",10
"January 29, 2017 at 12 AM",5
"January 29, 2017 at 1 AM",6
"January 29, 2017 at 2 AM",7
"January 29, 2017 at 3 AM",4
"January 29, 2017 at 4 AM",4
"January 29, 2017 at 5 AM",2
"January 29, 2017 at 6 AM",3
"January 29, 2017 at 7 AM",5
