ds,y
7/24/2018,170
7/25/2018,224
7/26/2018,211
7/27/2018,185
7/28/2018,211
7/29/2018,159
7/30/2018,194
7/31/2018,196
8/1/2018,248
8/2/2018,200
8/3/2018,173
8/4/2018,171
8/5/2018,192
8/6/2018,192
8/7/2018,178
8/8/2018,184
8/9/2018,179
8/10/2018,198
8/11/2018,165
8/12/2018,188
8/13/2018,207
8/14/2018,175
8/15/2018,213
8/16/2018,205
8/17/2018,195
8/18/2018,193
8/19/2018,175
8/20/2018,248
8/21/2018,169
8/22/2018,225
8/23/2018,209
8/24/2018,221
8/25/2018,176
8/26/2018,178
8/27/2018,202
8/28/2018,230
8/29/2018,186
8/30/2018,189
8/31/2018,228
9/1/2018,245
9/2/2018,206
9/3/2018,183
9/4/2018,185
9/5/2018,184
9/6/2018,195
9/7/2018,208
9/8/2018,180
9/9/2018,176
9/10/2018,180
9/11/2018,173
9/12/2018,210
9/13/2018,197
9/14/2018,210
9/15/2018,198
9/16/2018,186
9/17/2018,210
9/18/2018,193
9/19/2018,191
9/20/2018,173
9/21/2018,214
9/22/2018,192
9/23/2018,203
9/24/2018,179
9/25/2018,178
9/26/2018,221
9/27/2018,169
9/28/2018,160
9/29/2018,170
9/30/2018,196
10/1/2018,190
10/2/2018,183
10/3/2018,191
10/4/2018,197
10/5/2018,207
10/6/2018,165
10/7/2018,166
10/8/2018,124
10/9/2018,138
10/10/2018,157
10/11/2018,191
10/12/2018,176
10/13/2018,155
10/14/2018,143
10/15/2018,155
10/16/2018,163
10/17/2018,193
10/18/2018,186
10/19/2018,185
10/20/2018,148
10/21/2018,151
10/22/2018,201
10/23/2018,204
10/24/2018,161
10/25/2018,179
10/26/2018,195
10/27/2018,181
10/28/2018,162
10/29/2018,171
10/30/2018,153
10/31/2018,164
11/1/2018,220
11/2/2018,160
11/3/2018,188
11/4/2018,157
11/5/2018,182
11/6/2018,141
11/7/2018,165
11/8/2018,137
11/9/2018,173
11/10/2018,141
11/11/2018,105
11/12/2018,122
11/13/2018,151
11/14/2018,151
11/15/2018,155
11/16/2018,187
11/17/2018,162
11/18/2018,154
11/19/2018,145
11/20/2018,166
11/21/2018,175
11/22/2018,115
11/23/2018,169
11/24/2018,144
11/25/2018,150
11/26/2018,163
11/27/2018,162
11/28/2018,188
11/29/2018,174
11/30/2018,159
12/1/2018,171
12/2/2018,143
12/3/2018,162
12/4/2018,165
12/5/2018,148
12/6/2018,180
12/7/2018,171
12/8/2018,155
12/9/2018,134
12/10/2018,143
12/11/2018,171
12/12/2018,177
12/13/2018,155
12/14/2018,200
12/15/2018,180
12/16/2018,150
12/17/2018,163
12/18/2018,186
12/19/2018,162
12/20/2018,167
12/21/2018,158
12/22/2018,163
12/23/2018,155
12/24/2018,117
12/25/2018,82
12/26/2018,125
12/27/2018,133
12/28/2018,146
12/29/2018,150
12/30/2018,121
12/31/2018,123
1/1/2019,229
1/2/2019,153
1/3/2019,163
1/4/2019,145
1/5/2019,159
1/6/2019,124
1/7/2019,183
1/8/2019,173
1/9/2019,168
1/10/2019,139
1/11/2019,174
1/12/2019,139
1/13/2019,123
1/14/2019,152
1/15/2019,172
1/16/2019,147
1/17/2019,186
1/18/2019,151
1/19/2019,150
1/20/2019,158
1/21/2019,176
1/22/2019,160
1/23/2019,171
1/24/2019,129
1/25/2019,157
1/26/2019,160
1/27/2019,128
1/28/2019,148
1/29/2019,165
1/30/2019,174
1/31/2019,191
2/1/2019,174
2/2/2019,157
2/3/2019,168
2/4/2019,162
2/5/2019,164
2/6/2019,114
2/7/2019,100
2/8/2019,155
2/9/2019,150
2/10/2019,163
2/11/2019,147
2/12/2019,146
2/13/2019,186
2/14/2019,181
2/15/2019,180
2/16/2019,141
2/17/2019,144
2/18/2019,140
2/19/2019,163
2/20/2019,169
2/21/2019,140
2/22/2019,145
2/23/2019,125
2/24/2019,118
2/25/2019,162
2/26/2019,178
2/27/2019,164
2/28/2019,181
3/1/2019,235
3/2/2019,145
3/3/2019,103
3/4/2019,124
3/5/2019,138
3/6/2019,141
3/7/2019,177
3/8/2019,158
3/9/2019,178
3/10/2019,162
3/11/2019,174
3/12/2019,155
3/13/2019,96
3/14/2019,127
3/15/2019,138
3/16/2019,179
3/17/2019,162
3/18/2019,158
3/19/2019,177
3/20/2019,159
3/21/2019,177
3/22/2019,159
3/23/2019,148
3/24/2019,140
3/25/2019,167
3/26/2019,152
3/27/2019,188
3/28/2019,151
3/29/2019,181
3/30/2019,143
3/31/2019,162
4/1/2019,213
4/2/2019,155
4/3/2019,166
4/4/2019,179
4/5/2019,207
4/6/2019,185
4/7/2019,160
